ms,degC
-26227,36.4
\,
-24205,36.4
\,
-22182,36.4
\,
-20160,36.4
\,
-18138,36.4
\,
-16114,36.4
\,
-14090,36.4
\,
-12067,36.4
\,
-10045,36.4
\,
-8023,36.4
\,
-6000,36.4
\,
-3977,36.4
\,
-1952,36.4
\,
71,36.4
\,
2095,36.4
\,
4117,36.4
\,
6139,36.4
\,
8162,36.4
\,
10184,36.4
\,
12208,36.4
\,
14232,36.4
\,
16254,36.4
\,
18277,36.4
\,
20299,36.4
\,
22322,36.4
\,
24345,36.4
\,
26370,36.4
\,
28392,36.4
\,
30414,36.5
\,
32437,36.4
\,
-31077,36.5
\,
-29052,36.4
\,
-27030,36.5
\,
-25008,36.5
\,
-22985,36.5
\,
-20962,36.5
\,
-18937,36.5
\,
-16915,36.5
\,
-14893,36.5
\,
-12868,36.5
\,
-10845,36.5
\,
-8822,36.5
\,
-6800,36.5
\,
-4777,36.5
\,
-2753,36.5
\,
-731,36.5
\,
1292,36.5
\,
3314,36.5
\,
5339,36.5
\,
7362,36.5
\,
9384,36.5
\,
11407,36.5
\,
13429,36.5
\,
15454,36.5
\,
17476,36.5
\,
19499,36.5
\,
21521,36.5
\,
23545,36.5
\,
25568,36.5
\,
27590,36.5
\,
29615,36.5
\,
31638,36.5
\,
-31876,36.5
\,
-29853,36.5
\,
-27829,36.5
\,
-25806,36.6
\,
-23784,36.6
\,
-21762,36.5
\,
-19738,36.6
\,
-17714,36.6
\,
-15691,36.5
\,
-13669,36.5
\,
-11644,36.6
\,
-9621,36.6
\,
-7599,36.6
\,
-5576,36.6
\,
-3554,36.6
\,
-1529,36.6
\,
493,36.6
\,
2515,36.6
\,
4539,36.6
\,
6562,36.6
\,
8585,36.6
\,
10607,36.6
\,
12632,36.6
\,
14654,36.6
\,
16676,36.6
\,
18700,36.6
\,
20722,36.6
\,
22745,36.6
\,
24767,36.6
\,
26791,36.6
\,
28814,36.6
\,
30836,36.6
\,
-32675,36.6
\,
-30653,36.6
\,
-28631,36.6
\,
-26606,36.6
\,
-24584,36.6
\,
-22561,36.6
\,
-20537,36.6
\,
-18514,36.6
\,
-16492,36.6
\,
-14470,36.6
\,
-12446,36.6
\,
-10424,36.6
\,
-8401,36.6
\,
-6377,36.6
\,
-4355,36.6
\,
-2332,36.6
\,
-310,36.6
\,
1715,36.6
\,
3737,36.7
\,
5760,36.6
\,
7783,36.6
\,
9805,36.6
\,
11828,36.6
\,
13850,36.6
\,
15875,36.6
\,
17897,36.6
\,
19919,36.6
\,
21942,36.6
\,
23966,36.7
\,
25989,36.6
\,
28011,36.7
\,
30035,36.7
\,
32058,36.6
\,
-31456,36.6
\,
-29433,36.6
\,
-27409,36.6
\,
-25386,36.7
\,
-23364,36.6
\,
-21340,36.7
\,
-19317,36.7
\,
-17295,36.7
\,
-15270,36.7
\,
-13248,36.7
\,
-11226,36.7
\,
-9202,36.7
\,
-7180,36.7
\,
-5157,36.7
\,
-3133,36.7
\,
-1111,36.7
\,
},
