ms,degC
25187,36.70
27209,36.70
29232,36.70
31256,36.70
-32258,36.70
-30235,36.70
-28212,36.70
-26189,36.70
-24166,36.70
-22143,36.70
-20121,36.70
-18097,36.70
-16074,36.70
-14052,36.70
-12027,36.70
-10005,36.70
-7983,36.70
