ms,degC
-28243,36.9
\,
-26221,36.9
\,
-24199,37
\,
-22174,37
\,
-20151,37
\,
-18128,37
\,
-16106,37
\,
-14084,37
\,
-12059,37
\,
-10037,37
\,
-8014,37
\,
-5992,37
\,
-3967,37
\,
-1944,37
\,
78,37
\,
2101,37
\,
4123,37
\,
6146,37
\,
8170,37
\,
10192,37
\,
12215,37
\,
14237,37
\,
16262,37
\,
18284,37
\,
20306,37
\,
22329,37
\,
24352,37
\,
26377,37
\,
28399,37
\,
30422,37.1
\,
32444,37
\,
-31069,37
\,
-29044,37
\,
-27022,37.1
\,
-24999,37.1
\,
-22977,37.1
\,
-20953,37
\,
-18929,37.1
\,
-16907,37.1
\,
-14884,37.1
\,
-12860,37.1
\,
-10837,37.1
\,
-8815,37.1
\,
-6793,37.1
\,
-4768,37.1
\,
-2745,37.1
\,
-722,37.1
\,
1300,37.1
\,
3322,37.1
\,
5347,37.1
\,
7369,37.1
\,
9392,37.1
\,
11414,37.1
\,
13438,37.1
\,
15462,37.1
\,
17484,37.1
\,
19507,37.1
\,
21531,37.1
\,
23554,37.1
\,
25576,37.1
\,
27598,37.1
\,
29623,37.1
\,
31645,37.1
\,
-31868,37.1
\,
-29846,37.1
\,
-27822,37.1
\,
-25799,37.1
\,
-23777,37.1
\,
-21754,37.1
\,
-19730,37.1
\,
-17708,37.1
\,
-15685,37.1
\,
-13663,37.1
\,
-11638,37.1
\,
-9615,37.1
\,
-7592,37.1
\,
-5570,37.1
\,
-3548,37.1
\,
-1524,37.1
\,
500,37.1
\,
2524,37.1
\,
4546,37.2
\,
6568,37.1
\,
8591,37.1
\,
10615,37.2
\,
12638,37.2
\,
14660,37.2
\,
16683,37.2
\,
18707,37.1
\,
20730,37.2
\,
22753,37.2
\,
24775,37.2
\,
26800,37.2
\,
28822,37.2
\,
30844,37.2
\,
-32669,37.2
\,
-30645,37.2
\,
-28622,37.2
\,
-26600,37.2
\,
-24578,37.2
\,
-22553,37.2
\,
-20531,37.2
\,
-18508,37.2
\,
-16486,37.2
\,
-14461,37.2
\,
-12439,37.2
\,
-10417,37.2
\,
-8394,37.2
\,
-6370,37.2
\,
-4347,37.2
\,
-2325,37.2
\,
-303,37.2
\,
1722,37.2
\,
3745,37.2
\,
5768,37.2
\,
7790,37.2
\,
9812,37.2
\,
11837,37.2
\,
13859,37.2
\,
15882,37.2
\,
17904,37.2
\,
19929,37.2
\,
21951,37.2
\,
23973,37.2
\,
25996,37.2
\,
28020,37.2
\,
30043,37.2
\,
32065,37.2
\,
-31449,37.2
\,
-29424,37.2
\,
-27402,37.2
\,
-25379,37.2
\,
-23357,37.2
\,
-21332,37.2
\,
-19310,37.2
\,
},
